relation,type,run,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_change_entanglement,fault,7,0.06039679,0.13012034,0.89085277,0.09395404,0.89362349,2.24154254,3.23636212,40,True
fault_change_entanglement,fault,8,0.00674986,0.16138329,1.03337645,0.12034269,0.97593204,2.56409888,3.67713233,40,True
fault_change_entanglement,fault,9,0.0114829,0.05994946,0.4318473,0.04684329,0.41493279,1.404046,2.43180523,40,True
fault_change_entanglement,fault,10,0.01181853,0.13068013,0.56659862,0.11300983,0.555069,1.81524867,3.20674288,40,True
fault_change_entanglement,fault,11,0.04584429,0.11221964,0.80516096,0.1190938,0.82186265,1.75616341,2.30820748,40,True
fault_change_entanglement,fault,12,0.01820068,0.10032855,0.42333283,0.09382172,0.4726285,2.28929602,3.84012818,40,True
fault_change_entanglement,fault,13,0.01790338,0.13756372,0.89888881,0.13645099,0.95391493,1.65514824,2.85659445,40,True
fault_change_entanglement,fault,14,0.10038428,0.14877905,0.99334103,0.13506336,0.98150755,1.64130814,2.56945955,40,True
fault_change_entanglement,fault,15,0.01253353,0.11095311,0.67401894,0.11517825,0.75547311,1.50047329,2.46034953,40,True
fault_change_entanglement,fault,16,0.01056742,0.07450694,0.51665747,0.06152928,0.51434362,1.39437057,1.93532876,40,True
fault_change_entanglement,fault,17,0.04055465,0.12668733,1.06490155,0.07220995,1.07213067,2.43437537,3.66142802,40,True
fault_change_entanglement,fault,18,0.06762031,0.17695778,0.77303871,0.14887817,0.80410767,1.89421362,3.3554841,40,True
fault_change_entanglement,fault,19,0.00252618,0.05554954,0.49298565,0.06267544,0.49697659,0.86712745,1.79195493,40,True
fault_change_entanglement,fault,20,0.02242193,0.12404892,0.78440169,0.12470465,0.83939365,2.090512,3.44799481,40,True
fault_change_entanglement,fault,21,0.01371461,0.13087035,0.99796419,0.11865854,0.97731495,2.39474917,3.93678898,40,True
fault_change_entanglement,fault,22,0.01501581,0.08883461,0.48105652,0.06396694,0.47926025,1.42202627,2.90014982,40,True
fault_change_entanglement,fault,23,0.02383967,0.07036427,0.46906291,0.05324898,0.47440332,1.66792991,2.95228469,40,True
fault_change_entanglement,fault,24,0.02800262,0.0998619,0.49007281,0.09739184,0.5810895,1.79304646,2.96685548,40,True
fault_change_entanglement,fault,25,0.04934308,0.09920987,0.98693338,0.10226422,0.89736554,2.12146587,3.76023928,40,True
fault_change_entanglement,fault,26,0.02565715,0.10795333,0.50082091,0.06885674,0.45181437,2.00711489,3.32309981,40,True
fault_change_entanglement,fault,27,0.02921609,0.05413859,0.37530239,0.04358678,0.38034431,1.38771582,2.28374852,40,True
fault_change_entanglement,fault,28,0.03799936,0.11342772,0.99263095,0.10308106,1.01118111,2.18512504,3.48504179,40,True
fault_change_entanglement,fault,29,0.02550195,0.12224915,0.87972527,0.10569977,0.903653,2.10309167,3.18701552,40,True
fault_change_entanglement,fault,30,0.00135531,0.10400645,0.48835504,0.08003135,0.47701294,2.22990505,3.06952787,40,True
