relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_change_entanglement,fault,29,48,48,33,30,0.19207017,0.23593623,1.36132882,0.1865385,1.05248761,3.49109425,4.82830996,120,True
fault_change_entanglement,fault,30,48,48,33,28,0.35134249,0.23077239,1.19204287,0.14360334,0.96346535,3.40900937,4.98331642,120,True
fault_replace_rot_strong,fault,1,48,47,33,33,0.49596322,0.66682519,1.32440658,0.76166543,1.49103576,3.43287891,4.53061084,120,True
fault_replace_rot_strong,fault,2,48,47,33,33,0.04348661,0.34579828,1.10180084,0.32981817,1.04277816,4.49349099,6.01373731,120,True
fault_replace_rot_strong,fault,3,48,47,33,33,0.34767272,0.60245909,2.11101003,0.53468192,1.96496755,3.71451892,4.8232694,120,True
fault_replace_rot_strong,fault,4,48,47,33,33,0.0210498,0.16536053,0.89992505,0.17274338,0.95228381,2.08218745,2.88344323,120,True
fault_replace_rot_strong,fault,5,48,47,33,33,0.76079026,0.99403276,2.13879406,0.78052995,2.06030412,4.05485794,5.5190862,120,True
fault_replace_rot_strong,fault,6,48,47,33,33,0.05313276,0.25979956,1.44523818,0.18089488,1.24190418,3.25361214,4.21303968,120,True
fault_replace_rot_strong,fault,7,48,47,33,33,0.30741468,0.34512969,1.29441046,0.24147421,1.02826264,2.85420482,3.92038572,120,True
fault_replace_rot_strong,fault,8,48,47,33,33,0.18353948,0.43690112,1.32018607,0.24862237,1.19432567,3.63587509,4.4984012,120,True
fault_replace_rot_strong,fault,9,48,47,33,33,0.05548719,0.19340797,1.15032868,0.27729847,1.1279884,2.94550583,4.06242923,120,True
fault_replace_rot_strong,fault,10,48,47,33,33,0.4610499,0.85452063,2.23723726,0.771373,2.11028788,3.59218813,5.10601314,120,True
fault_replace_rot_strong,fault,11,48,47,33,33,0.08742472,0.31049003,1.19790015,0.4277449,1.26580086,3.92070497,4.95987427,120,True
fault_replace_rot_strong,fault,12,48,47,33,33,0.12114988,0.2940565,1.13209962,0.31918485,1.31790967,3.59893476,5.14966433,120,True
